time,ph7_1,ph7_2,ph7_3,,,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
31,1564.802,1584.148,1569.671,,,1678.351,1668.468,1695.943,,,1600.617,1636.67,1623.329,,,1551.268,1523.459,1551.696,,,1571.737,1581.683,1564.19,,,1628.075,1636.167,1619.911
32,1559.934,1591.543,1580.034,,,1707.161,1657.345,1698.734,,,1621.986,1628.828,1623.813,,,1570.639,1534.33,1538.192,,,1579.655,1588.47,1562.02,,,1625.233,1634.263,1599.417
33,1569.167,1573.727,1561.058,,,1698.102,1664.634,1693.72,,,1608.508,1631.087,1635.096,,,1555.142,1532.222,1545.699,,,1574.899,1577.507,1549.891,,,1626.078,1632.289,1592.746
34,1559.756,1582.494,1564.655,,,1698.442,1657.936,1708.841,,,1605.716,1624.274,1628.014,,,1559.728,1549.127,1544.484,,,1581.563,1550.994,1547.513,,,1617.34,1632.282,1601.808
35,1557.818,1572.831,1552.759,,,1706.923,1654.941,1701.092,,,1608.384,1621.142,1620.589,,,1563.235,1539.395,1531.089,,,1568.824,1560.501,1558.476,,,1617.02,1642.738,1607.224
36,1550.277,1570.656,1554.057,,,1691.55,1662.407,1672.208,,,1583.877,1620.329,1621.769,,,1551.147,1528.298,1534.75,,,1565.695,1575.707,1549.356,,,1611.355,1641.518,1616.205
37,1558.385,1575.888,1572.073,,,1681.433,1643.713,1664.45,,,1599.954,1620.733,1628.085,,,1559.644,1536.535,1544.215,,,1564.944,1559.998,1546.276,,,1628.236,1630.925,1606.967
38,1580.886,1570.541,1545.339,,,1684.8,1650.772,1676.132,,,1584.388,1620.569,1621.013,,,1543.868,1537.458,1544.657,,,1578.877,1564.8,1563.7,,,1631.689,1642.581,1613.401
39,1558.021,1581.834,1547.001,,,1676.711,1651.591,1661.866,,,1576.087,1609.054,1624.367,,,1542.773,1530.842,1551.192,,,1563.912,1572.537,1556.663,,,1644.345,1624.396,1609.745
40,1566.871,1575.66,1550.452,,,1689.283,1647.276,1682.841,,,1584.754,1624.135,1616.747,,,1537.821,1525.078,1534.797,,,1543.437,1562.904,1556.715,,,1621.623,1623.124,1610.734
41,1561.191,1555.821,1560.82,,,1683.168,1641.081,1678.047,,,1586.78,1619.827,1630.292,,,1536.802,1536.281,1539.224,,,1552.189,1576.435,1567.246,,,1625.33,1625.538,1608.54
42,1557.553,1556.54,1533.756,,,1663.179,1638.492,1669.985,,,1599.571,1628.436,1639.5,,,1540.595,1518.375,1530.857,,,1557.639,1573.147,1545.311,,,1624.026,1640.625,1618.521
43,1553.342,1545.945,1539.815,,,1676.354,1643.407,1667.439,,,1602.452,1626.817,1646.478,,,1554.017,1529.77,1528.985,,,1557.942,1549.675,1530.333,,,1617.61,1610.57,1615.688
44,1548.844,1553.892,1540.155,,,1677.623,1640.574,1669.676,,,1585.76,1611.337,1637.199,,,1547.225,1526.598,1534.349,,,1571.11,1562.072,1549.253,,,1637.905,1617.913,1600.348
45,1553.064,1560.444,1545.986,,,1674.423,1665.075,1670.27,,,1586.173,1613.744,1641.262,,,1563.297,1525.716,1529.391,,,1563.955,1564.402,1527.007,,,1626.83,1617.204,1593.738
46,1534.853,1562.043,1558.29,,,1685.169,1659.024,1654.187,,,1588.616,1621.247,1637.827,,,1546.496,1525.103,1533.866,,,1550.067,1551.58,1540.144,,,1628.366,1617.673,1609.489
47,1530.674,1563.865,1548.641,,,1685.786,1650.86,1661.349,,,1594.08,1611.082,1627.094,,,1550.873,1515.423,1528.046,,,1551.017,1555.048,1532.594,,,1621.629,1618.379,1584.322
48,1548.604,1559.885,1544.139,,,1681.32,1648.806,1666.629,,,1589.811,1601.399,1637.93,,,1559.594,1505.923,1535.35,,,1542.537,1549.528,1543.362,,,1626.661,1607.844,1592.932
49,1541.46,1554.781,1543.72,,,1673.285,1659.02,1670.735,,,1590.442,1607.677,1639.002,,,1553.37,1512.045,1539.952,,,1554.489,1543.145,1540.686,,,1626.661,1613.793,1586.585
50,1530.524,1553.612,1529.029,,,1684.627,1633.853,1656.27,,,1585.198,1606.417,1637.553,,,1535.548,1513.413,1521.372,,,1544.515,1537.21,1552.583,,,1632.616,1625.016,1594.242
51,1539.76,1554.103,1543.517,,,1671.899,1646.198,1659.003,,,1583.995,1623.059,1635.765,,,1535.001,1511.356,1542.557,,,1534.117,1538.084,1544.176,,,1620.169,1617.878,1599.476
52,1546.168,1545.264,1543.922,,,1678.895,1649.667,1642.858,,,1581.611,1588.644,1631.268,,,1526.878,1503.958,1540.202,,,1538.738,1553.442,1535.957,,,1624.648,1615.731,1594.207
53,1545.903,1561.651,1547.652,,,1685.621,1650.357,1648.344,,,1590.451,1606.391,1643.583,,,1541.129,1506.1,1532.5,,,1557.241,1545.279,1548.066,,,1626.975,1597.27,1605.445
54,1525.216,1553.587,1536.422,,,1680.092,1623.011,1642.534,,,1591.346,1589.097,1619.814,,,1531.658,1518.198,1541.879,,,1562.827,1545.799,1542.104,,,1620.304,1606.866,1597.935
55,1532.271,1548.977,1550.211,,,1671.102,1649.265,1676.215,,,1580.469,1592.41,1624.385,,,1530.525,1494.924,1530.303,,,1559.32,1548.168,1551.455,,,1624.247,1613.612,1590.924
56,1546.45,1557.547,1551.344,,,1674.289,1653.868,1647.366,,,1583.495,1592.123,1611.577,,,1528.025,1519.342,1536.434,,,1553.004,1546.803,1559.762,,,1618.739,1608.388,1593.471
57,1550.802,1541.287,1557.006,,,1661.662,1654.159,1644.383,,,1594.067,1579.015,1608.868,,,1536.216,1495.929,1534.45,,,1557.547,1549.329,1552.402,,,1627.385,1595.11,1603.069
58,1532.7,1532.089,1545.232,,,1644.788,1638.726,1648.739,,,1595.434,1592.557,1631.448,,,1531.457,1520.501,1527.822,,,1546.643,1543.943,1545.881,,,1619.533,1601.331,1604.112
59,1535.491,1523.204,1540.131,,,1647.09,1638.227,1638.444,,,1580.685,1592.642,1638.359,,,1522.107,1502.065,1536.471,,,1548.838,1543.49,1547.908,,,1639.215,1607.704,1576.272
60,1531.638,1536.906,1557.702,,,1665.229,1631.518,1635.971,,,1583.114,1582.639,1630.383,,,1530.005,1493.802,1536.194,,,1537.778,1547.528,1553.63,,,1633.52,1601.547,1591.021
61,1524.677,1557.05,1548.23,,,1669.435,1645.053,1634.601,,,1593.379,1596.287,1626.064,,,1524.997,1494.377,1535.458,,,1535.282,1533.492,1541.471,,,1631.224,1606.173,1590.444
62,1530.112,1552.263,1546.671,,,1647.863,1626.666,1626.881,,,1605.915,1595.775,1611.221,,,1540.643,1509.572,1536.168,,,1535.391,1525.991,1538.959,,,1638.398,1602.818,1573.864
63,1527.603,1561.468,1538.253,,,1670.592,1640.252,1626.348,,,1584.664,1616.08,1611.496,,,1507.969,1494.833,1528.426,,,1543.039,1535.401,1539.994,,,1623.55,1600.125,1570.831
64,1519.553,1556.988,1545.479,,,1677.23,1643.318,1642.365,,,1599.696,1599.204,1603.437,,,1534.76,1498.306,1533.019,,,1528.361,1527.086,1541.617,,,1618.179,1599.768,1584.967
65,1524.43,1539.241,1541.097,,,1689.268,1642.488,1651.18,,,1615.27,1598.411,1620.185,,,1527.249,1491.252,1520.173,,,1538.481,1533.595,1536.234,,,1619.504,1609.165,1589.57
66,1531.035,1563.051,1561.581,,,1672.417,1633.497,1645.401,,,1601.278,1584.312,1613.193,,,1539.573,1513.022,1518.634,,,1534.38,1525.051,1541.569,,,1619,1604.142,1593.553
